dataset,model,variant,params,eval_em,eval_f1,test_em,test_f1,test_em_std,test_f1_std
squad,BERT,pretraining,108893186,81.10690633869442,88.34642714079959,,,,
squad,BioBERT,pretraining,107721218,81.37180700094608,88.74669241862493,,,,
squad,PubMedBERT,pretraining,108893186,82.2421948912015,89.5963377288466,,,,
squad,RoBERTa,pretraining,124056578,86.14947965941343,92.27372698772238,,,,
squad,DistilBERT,pretraining,66364418,77.4077578051088,85.55492182352934,,,,
squad,ClinicalBERT,pretraining,107721218,76.76442762535478,85.40562262101841,,,,
bioasq,BERT,bez SQuAD,108893186,30.136986301369863,47.21022988867257,34.146341463414636,50.240105423032254,,
bioasq,BERT,z SQuAD,108893186,45.205479452054796,63.35616438356164,50.0,65.65290578769397,,
bioasq,BioBERT,bez SQuAD,107721218,41.0958904109589,59.86936959539699,42.68292682926829,61.7940392940393,,
bioasq,BioBERT,z SQuAD,107721218,56.16438356164384,74.07330873084298,45.1219512195122,69.23931361162352,,
bioasq,PubMedBERT,bez SQuAD,108893186,42.465753424657535,64.99474113495064,53.65853658536585,71.38800144539024,,
bioasq,PubMedBERT,z SQuAD,108893186,57.534246575342465,71.0966881345184,59.75609756097561,73.5220944367286,,
bioasq,RoBERTa,bez SQuAD,124056578,42.465753424657535,59.638884707377855,42.68292682926829,62.29610836318154,,
bioasq,RoBERTa,z SQuAD,124056578,56.16438356164384,71.93806433892951,50.0,69.02676812406399,,
bioasq,DistilBERT,bez SQuAD,66364418,32.87671232876713,50.019161324136086,24.390243902439025,38.91048653243775,,
bioasq,DistilBERT,z SQuAD,66364418,45.205479452054796,66.00811389203604,42.68292682926829,60.82597797296128,,
bioasq,ClinicalBERT,bez SQuAD,107721218,35.61643835616438,50.35473278623964,35.36585365853659,50.70155314954454,,
bioasq,ClinicalBERT,z SQuAD,107721218,45.205479452054796,65.45272079518655,46.34146341463415,65.89884031957203,,
covidqa,BERT,bez SQuAD,108893186,21.85317648654146,42.79499244471488,19.537953795379536,39.661446622595136,0.8542692478907453,1.5754638874898201
covidqa,BERT,z SQuAD,108893186,32.80663095803105,57.130279604510065,29.834983498349835,55.53386277793833,1.7557011324449354,0.9181953121929137
covidqa,BioBERT,bez SQuAD,107721218,25.58224286392298,47.2978731424752,22.904290429042906,44.953836519322806,2.1966417547582484,1.9678759634393599
covidqa,BioBERT,z SQuAD,107721218,34.90490880737677,60.79939478550178,31.74917491749175,57.0592991947148,1.5195860637915963,0.7109828734131713
covidqa,PubMedBERT,bez SQuAD,108893186,31.117872398128686,55.71336812096833,32.01320132013201,54.65514020517932,0.8084124563640852,0.7077119657143295
covidqa,PubMedBERT,z SQuAD,108893186,38.692114719642014,65.64182992092496,37.02970297029703,62.81154179357437,1.00103966258106,1.494575739560278
covidqa,RoBERTa,bez SQuAD,124056578,29.37012678825683,55.279787291523846,29.372937293729375,53.42793368352158,1.4759524603959007,1.2673212783350782
covidqa,RoBERTa,z SQuAD,124056578,37.87697471014984,62.809327838852305,36.369636963696365,61.452019757870765,1.8727737239750626,1.1739978534323
covidqa,DistilBERT,bez SQuAD,66364418,18.123262594074173,37.85553441591477,15.709570957095709,34.98753738052747,3.0924638350158355,3.238760349702378
covidqa,DistilBERT,z SQuAD,66364418,30.593091057020814,55.152007644730226,27.062706270627064,52.01638595617678,1.5654839901823663,1.0380786345354254
covidqa,ClinicalBERT,bez SQuAD,107721218,21.61892331683504,43.32785764290733,19.00990099009901,39.44225101984693,2.5628077436722347,2.2218134674227765
covidqa,ClinicalBERT,z SQuAD,107721218,33.15563767035053,58.28318740297132,32.73927392739274,56.75572761956376,1.944115706273683,1.2916475060281585
