model,device,params,latency_ms,latency_std,throughput,throughput_std,peak_vram_mb
BERT,cuda,108893186,16.51,0.56,188.2,2.1,430
BioBERT,cuda,107721218,16.82,0.21,182.4,2.6,425
PubMedBERT,cuda,108893186,17.22,0.81,217.0,1.7,430
RoBERTa,cuda,124056578,17.75,0.5,190.5,1.9,488
DistilBERT,cuda,66364418,8.48,0.31,373.4,3.0,268
ClinicalBERT,cuda,107721218,16.23,0.47,181.8,1.3,425
PubMedBERT (LoRA r=8),cuda,108893186,16.64,0.5,220.2,2.3,430
RoBERTa (LoRA r=8),cuda,124056578,17.05,0.35,189.6,1.0,488
BERT,cpu,108893186,295.99,13.23,1.0,0.0,
BioBERT,cpu,107721218,315.74,12.95,1.0,0.0,
PubMedBERT,cpu,108893186,265.74,7.82,1.1,0.1,
RoBERTa,cpu,124056578,320.45,14.3,0.9,0.0,
DistilBERT,cpu,66364418,158.62,8.52,1.9,0.0,
ClinicalBERT,cpu,107721218,338.58,8.5,1.0,0.1,
PubMedBERT (LoRA r=8),cpu,108893186,230.18,3.44,1.4,0.0,
RoBERTa (LoRA r=8),cpu,124056578,259.69,5.35,1.2,0.0,
